n,type,Num Changed,Num Unchanged,Num No Worse,Num No Better,Worst Util Welfare,Best Util Welfare,Worst Util Count,Best Util Count,Worst Egal Welfare,Avg/Stdev Util Welfare,Avg/Stdev Pct Util Count,Avg/Stdev Egal Welfare,Avg/Stdev Collateral Damage,Avg/Stdev Pct Consistent,Avg/Stdev Pct Num Better,Avg/Stdev Pct Num Unchanged
10,any,4505,5495,274,240,-30,23,8,8,-9,0.13 (5.45),0.18 (0.01),-2.65 (1.85),0.13 (0.38),0.31 (0.01),0.18 (0.01),0.64 (0.01)
12,any,4824,5176,279,302,-34,32,9,10,-11,0.16 (7.04),0.16 (0.01),-3.08 (2.18),0.12 (0.35),0.27 (0.01),0.17 (0.01),0.67 (0.01)
15,any,5232,4768,337,306,-52,56,12,12,-14,0.01 (8.91),0.15 (0.01),-3.54 (2.56),0.11 (0.35),0.24 (0.01),0.15 (0.01),0.7 (0.01)
16,any,5238,4762,292,345,-45,74,12,14,-15,-0.23 (9.54),0.15 (0.01),-3.79 (2.71),0.13 (0.36),0.23 (0.01),0.14 (0.01),0.71 (0.01)
20,any,5609,4391,347,337,-77,69,14,14,-19,-0.1 (12.62),0.13 (0.01),-4.38 (3.2),0.11 (0.35),0.2 (0.0),0.13 (0.01),0.74 (0.01)
3,any,2089,7911,52,36,-2,2,2,2,-2,0.02 (0.93),0.37 (0.04),-1.24 (0.48),0.14 (0.35),0.71 (0.08),0.38 (0.04),0.25 (0.05)
4,any,2731,7269,99,71,-6,5,3,3,-3,0.05 (1.5),0.31 (0.03),-1.45 (0.72),0.17 (0.41),0.58 (0.05),0.31 (0.03),0.38 (0.04)
5,any,3131,6869,130,116,-9,10,4,4,-4,-0.01 (2.08),0.26 (0.03),-1.7 (0.94),0.15 (0.38),0.49 (0.04),0.26 (0.03),0.47 (0.03)
6,any,3468,6532,165,177,-13,10,5,5,-5,-0.05 (2.74),0.24 (0.02),-1.91 (1.14),0.16 (0.39),0.44 (0.03),0.24 (0.02),0.52 (0.03)
7,any,3861,6139,171,185,-17,14,6,6,-6,-0.08 (3.4),0.22 (0.02),-2.15 (1.31),0.16 (0.41),0.39 (0.02),0.22 (0.02),0.56 (0.02)
8,any,4052,5948,232,239,-23,19,7,6,-7,-0.01 (4.04),0.2 (0.02),-2.33 (1.51),0.15 (0.39),0.35 (0.02),0.2 (0.02),0.59 (0.02)
9,any,4307,5693,242,226,-28,23,7,8,-8,0.11 (4.73),0.19 (0.01),-2.51 (1.67),0.13 (0.37),0.33 (0.01),0.19 (0.01),0.62 (0.02)
