id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,True,-1,0,1,1,13,6,9,0,1,5,0,0,0,0,0,8,1
1,True,-6,-3,1,2,12,9,6,0,2,7,0,0,0,0,0,5,1
2,False,0,0,0,0,15,4,9,2,0,4,0,0,2,0,0,9,0
3,True,-2,4,1,3,11,7,6,2,2,4,1,1,1,0,0,6,0
4,False,0,0,0,0,15,7,7,1,0,7,0,0,1,0,0,7,0
5,False,0,0,0,0,15,6,9,0,0,6,0,0,0,0,0,9,0
6,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
7,True,-5,7,1,4,10,8,6,1,2,5,1,0,1,0,2,4,0
8,False,0,0,0,0,15,9,6,0,0,9,0,0,0,0,0,6,0
9,False,0,0,0,0,15,6,8,1,0,6,0,0,1,0,0,8,0
10,False,0,0,0,0,15,6,7,2,0,6,0,0,2,0,0,7,0
11,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
12,True,-1,3,1,3,11,8,7,0,3,5,0,0,0,0,0,6,1
13,True,-3,8,2,3,10,7,8,0,2,5,0,0,0,0,1,5,2
14,False,0,0,0,0,15,5,9,1,0,5,0,0,1,0,0,9,0
15,True,-5,-11,6,3,6,7,7,1,3,2,2,0,1,0,0,3,4
16,True,-5,-14,6,1,8,8,6,1,1,4,3,0,0,1,0,4,2
17,True,-1,1,1,2,12,6,7,2,1,5,0,0,1,1,1,6,0
18,False,0,0,0,0,15,8,5,2,0,8,0,0,2,0,0,5,0
19,True,-1,0,3,1,11,8,7,0,1,5,2,0,0,0,0,6,1
20,False,0,0,0,0,15,9,4,2,0,9,0,0,2,0,0,4,0
21,True,-4,-2,1,1,13,5,9,1,0,5,0,1,0,0,0,8,1
22,False,0,0,0,0,15,6,7,2,0,6,0,0,2,0,0,7,0
23,True,-1,1,1,1,13,5,9,1,1,4,0,0,1,0,0,8,1
24,True,-3,3,2,2,11,6,8,1,1,5,0,0,1,0,1,5,2
25,False,0,0,0,0,15,7,6,2,0,7,0,0,2,0,0,6,0
26,True,-3,11,2,6,7,7,6,2,4,3,0,2,0,0,0,4,2
27,True,-2,4,1,2,12,6,9,0,1,5,0,0,0,0,1,7,1
28,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
29,False,0,0,0,0,15,6,8,1,0,6,0,0,1,0,0,8,0
30,False,0,0,0,0,15,8,6,1,0,8,0,0,1,0,0,6,0
31,True,-2,2,3,2,10,7,8,0,2,4,1,0,0,0,0,6,2
32,True,-11,-11,3,1,11,6,8,1,1,3,2,0,1,0,0,7,1
33,False,0,0,0,0,15,5,8,2,0,5,0,0,2,0,0,8,0
34,True,-4,16,1,7,7,6,7,2,2,4,0,0,2,0,5,1,1
35,True,-9,-8,2,1,12,8,6,1,1,6,1,0,1,0,0,5,1
36,True,-3,12,1,5,9,7,8,0,2,5,0,0,0,0,3,4,1
37,True,-5,6,1,3,11,8,7,0,2,6,0,0,0,0,1,5,1
38,False,0,0,0,0,15,6,9,0,0,6,0,0,0,0,0,9,0
39,False,0,0,0,0,15,7,6,2,0,7,0,0,2,0,0,6,0
40,True,-2,1,1,2,12,7,8,0,1,6,0,0,0,0,1,6,1
41,True,-3,-3,2,1,12,6,7,2,1,4,1,0,2,0,0,6,1
42,True,-12,-32,8,1,6,7,6,2,1,3,3,0,1,1,0,2,4
43,True,-2,4,2,2,11,9,6,0,2,7,0,0,0,0,0,4,2
44,False,0,0,0,0,15,6,6,3,0,6,0,0,3,0,0,6,0
45,True,-1,5,1,2,12,7,7,1,1,6,0,1,0,0,0,6,1
46,True,-4,-4,2,1,12,7,8,0,1,6,0,0,0,0,0,6,2
47,False,0,0,0,0,15,5,7,3,0,5,0,0,3,0,0,7,0
48,True,-6,2,2,2,11,7,8,0,2,5,0,0,0,0,0,6,2
49,True,-8,-21,7,1,7,8,7,0,1,5,2,0,0,0,0,2,5
50,True,-3,-1,3,2,10,9,6,0,2,7,0,0,0,0,0,3,3
51,False,0,0,0,0,15,6,8,1,0,6,0,0,1,0,0,8,0
52,True,-4,-4,3,3,9,6,8,1,2,4,0,0,1,0,1,4,3
53,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
54,True,-6,3,3,4,8,5,10,0,2,3,0,0,0,0,2,5,3
55,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
56,True,-3,-8,4,1,10,7,8,0,1,6,0,0,0,0,0,4,4
57,True,-2,0,3,2,10,7,8,0,1,5,1,0,0,0,1,5,2
58,False,0,0,0,0,15,7,7,1,0,7,0,0,1,0,0,7,0
59,True,-5,18,1,9,5,8,7,0,6,2,0,0,0,0,3,3,1
60,True,-3,-3,5,2,8,8,6,1,2,5,1,0,1,0,0,2,4
61,True,0,18,0,4,11,7,8,0,3,4,0,0,0,0,1,7,0
62,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
63,False,0,0,0,0,15,5,9,1,0,5,0,0,1,0,0,9,0
64,True,0,7,0,2,13,6,9,0,1,5,0,0,0,0,1,8,0
65,True,-2,10,1,3,11,6,7,2,3,3,0,0,2,0,0,6,1
66,True,-2,2,1,2,12,8,7,0,2,6,0,0,0,0,0,6,1
67,True,-2,3,4,2,9,10,5,0,2,6,2,0,0,0,0,3,2
68,False,0,0,0,0,15,8,6,1,0,8,0,0,1,0,0,6,0
69,True,-7,-11,3,0,12,7,6,2,0,6,1,0,1,1,0,5,1
70,True,-2,1,2,1,12,7,8,0,1,6,0,0,0,0,0,6,2
71,False,0,0,0,0,15,6,8,1,0,6,0,0,1,0,0,8,0
72,False,0,0,0,0,15,6,5,4,0,6,0,0,4,0,0,5,0
73,False,0,0,0,0,15,6,9,0,0,6,0,0,0,0,0,9,0
74,True,-4,1,2,3,10,9,5,1,3,6,0,0,1,0,0,3,2
75,True,0,11,0,2,13,7,8,0,1,6,0,0,0,0,1,7,0
76,True,-7,-13,3,1,11,8,5,2,1,6,1,0,2,0,0,3,2
77,True,-5,-4,1,1,13,9,6,0,1,8,0,0,0,0,0,5,1
78,True,-3,0,1,1,13,7,8,0,1,6,0,0,0,0,0,7,1
79,True,-1,3,1,3,11,8,7,0,2,6,0,0,0,0,1,5,1
80,True,-2,3,3,3,9,7,6,2,1,6,0,1,0,1,1,3,2
81,True,-2,9,1,6,8,7,8,0,4,3,0,0,0,0,2,5,1
82,True,-7,-4,2,3,10,8,7,0,3,4,1,0,0,0,0,6,1
83,True,-1,15,1,5,9,7,6,2,4,3,0,1,1,0,0,5,1
84,False,0,0,0,0,15,8,7,0,0,8,0,0,0,0,0,7,0
85,False,0,0,0,0,15,9,5,1,0,9,0,0,1,0,0,5,0
86,False,0,0,0,0,15,7,6,2,0,7,0,0,2,0,0,6,0
87,False,0,0,0,0,15,6,8,1,0,6,0,0,1,0,0,8,0
88,True,-8,-21,5,1,9,7,8,0,1,3,3,0,0,0,0,6,2
89,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
90,True,-4,-7,3,1,11,7,7,1,1,6,0,0,0,1,0,5,2
91,True,-2,-3,2,0,13,6,7,2,0,4,2,0,2,0,0,7,0
92,False,0,0,0,0,15,8,5,2,0,8,0,0,2,0,0,5,0
93,False,0,0,0,0,15,6,7,2,0,6,0,0,2,0,0,7,0
94,False,0,0,0,0,15,8,7,0,0,8,0,0,0,0,0,7,0
95,True,-3,6,2,5,8,8,7,0,4,3,1,0,0,0,1,5,1
96,True,-4,-5,3,1,11,6,6,3,1,3,2,0,2,1,0,6,0
97,True,-12,-25,4,1,10,7,6,2,1,4,2,0,2,0,0,4,2
98,True,-2,-2,2,1,12,7,7,1,1,6,0,0,1,0,0,5,2
99,False,0,0,0,0,15,9,6,0,0,9,0,0,0,0,0,6,0
100,True,-10,-2,2,2,11,8,6,1,2,5,1,0,1,0,0,5,1
101,True,-4,-1,1,1,13,9,6,0,1,8,0,0,0,0,0,5,1
102,True,-4,-4,3,1,11,8,7,0,1,6,1,0,0,0,0,5,2
103,False,0,0,0,0,15,7,7,1,0,7,0,0,1,0,0,7,0
104,False,0,0,0,0,15,6,6,3,0,6,0,0,3,0,0,6,0
105,True,-1,4,3,3,9,7,8,0,2,5,0,0,0,0,1,4,3
106,False,0,0,0,0,15,7,7,1,0,7,0,0,1,0,0,7,0
107,False,0,0,0,0,15,7,7,1,0,7,0,0,1,0,0,7,0
108,False,0,0,0,0,15,9,6,0,0,9,0,0,0,0,0,6,0
109,False,0,0,0,0,15,6,7,2,0,6,0,0,2,0,0,7,0
110,True,-6,-4,2,2,11,6,6,3,1,5,0,0,2,1,1,4,1
111,True,-1,1,3,1,11,8,6,1,1,4,3,0,1,0,0,6,0
112,False,0,0,0,0,15,8,5,2,0,8,0,0,2,0,0,5,0
113,True,-5,6,2,3,10,6,7,2,2,3,1,0,1,1,1,6,0
114,True,-8,-12,4,1,10,7,8,0,0,7,0,0,0,0,1,3,4
115,True,-5,5,2,3,10,7,7,1,2,5,0,0,1,0,1,4,2
116,True,-4,-3,1,1,13,8,7,0,0,8,0,0,0,0,1,5,1
117,True,-2,-3,2,0,13,6,9,0,0,5,1,0,0,0,0,8,1
118,True,-2,1,1,1,13,7,8,0,1,6,0,0,0,0,0,7,1
119,True,-1,4,1,2,12,8,7,0,1,7,0,0,0,0,1,5,1
120,False,0,0,0,0,15,7,8,0,0,7,0,0,0,0,0,8,0
121,True,-8,-7,2,1,12,7,7,1,1,6,0,0,1,0,0,5,2
