n,k,num_changed,num_unchanged,worst_util,best_util,worst_min_util,best_min_util,worst_maj_util,best_maj_util,util_envy,util_envy_for_min,count_envy
3,2,2725,7275,-2,2,-1,3,-2,0,-5,0,1
3,1,1857,8143,-2,2,0,2,-3,1,-5,0,1
4,3,2821,7179,-6,5,-4,6,-3,0,-9,-3,2
4,2,2381,7619,-5,5,-2,5,-5,2,-7,-4,2
4,1,1494,8506,-5,5,0,3,-6,4,-8,-3,2
5,4,2675,7325,-8,8,-6,10,-4,0,-14,-5,3
5,3,2455,7545,-7,8,-4,10,-6,3,-12,-5,3
5,2,2050,7950,-8,8,-3,7,-8,4,-9,-4,3
5,1,1321,8679,-7,8,0,4,-9,7,-12,-6,3
6,5,2628,7372,-10,12,-9,14,-5,0,-16,-8,4
6,4,2412,7588,-10,12,-6,12,-8,4,-13,-6,3
6,3,2211,7789,-11,11,-7,9,-9,5,-12,-6,4
6,2,1717,8283,-10,8,-4,8,-10,7,-14,-7,4
6,1,1157,8843,-12,11,0,5,-13,8,-15,-5,4
7,3,1975,8025,-14,13,-7,10,-13,8,-15,-9,4
7,1,1034,8966,-13,12,0,6,-14,9,-18,-8,4
7,4,2268,7732,-12,14,-8,13,-10,7,-16,-6,4
7,6,2472,7528,-14,12,-13,13,-6,0,-16,-12,5
7,5,2333,7667,-13,17,-11,18,-9,5,-20,-10,4
7,2,1589,8411,-13,13,-5,9,-12,10,-15,-10,4
8,1,912,9088,-17,16,0,7,-18,14,-21,-12,5
8,2,1476,8524,-20,16,-6,9,-21,15,-22,-14,5
8,3,1865,8135,-15,18,-7,13,-14,12,-18,-8,4
8,4,2036,7964,-15,19,-9,16,-12,10,-19,-8,4
8,5,2257,7743,-19,13,-15,15,-14,8,-19,-11,5
8,6,2294,7706,-16,20,-11,16,-11,5,-19,-9,5
8,7,2245,7755,-17,24,-13,25,-7,0,-26,-12,5
9,1,872,9128,-21,13,0,8,-22,11,-24,-10,6
9,2,1367,8633,-21,19,-6,11,-22,15,-23,-13,7
9,3,1637,8363,-20,23,-7,17,-16,15,-19,-11,5
9,4,1859,8141,-21,21,-9,18,-17,11,-20,-8,4
9,5,2002,7998,-19,19,-13,19,-15,10,-20,-10,4
9,6,2080,7920,-25,22,-18,17,-16,12,-18,-11,5
9,8,2161,7839,-19,19,-17,20,-8,0,-21,-16,6
9,7,2129,7871,-20,20,-18,20,-13,6,-23,-17,6
10,1,818,9182,-22,21,0,9,-23,18,-24,-16,7
10,2,1201,8799,-27,19,-7,14,-25,13,-25,-12,5
10,3,1537,8463,-23,21,-7,15,-22,13,-24,-12,5
10,4,1716,8284,-22,21,-9,15,-21,12,-22,-13,5
10,6,1965,8035,-21,26,-12,22,-14,14,-25,-14,5
10,7,2093,7907,-24,24,-19,21,-12,10,-22,-14,6
10,8,2067,7933,-20,23,-16,23,-13,8,-25,-14,7
10,9,2090,7910,-23,22,-20,24,-9,0,-26,-18,7
12,1,707,9293,-33,26,0,10,-36,22,-39,-19,7
12,6,1752,8248,-30,29,-17,25,-19,14,-28,-14,6
12,11,1977,8023,-26,28,-22,29,-11,0,-30,-21,8
16,1,582,9418,-51,52,0,14,-52,46,-53,-40,11
16,15,1634,8366,-45,47,-36,48,-15,0,-49,-29,10
16,8,1557,8443,-43,38,-27,33,-31,27,-30,-27,7
20,1,445,9555,-49,39,0,18,-55,37,-61,-35,12
20,10,1352,8648,-49,53,-39,38,-44,28,-44,-29,8
20,19,1405,8595,-70,59,-58,62,-18,0,-65,-52,16
